id_cliente,nome_cliente,METODO_RECURSO,Total Requisições,4xx,2xx,5xx,Score
80,COSMOS_COMPLEXO,GET / PIX - Gerenciamento de Cobranças,2991,2,2965,24,
81,AXIS_PAR,GET / PIX - Gerenciamento de Pix recebidos /,26650,23065,3522,63,
81,AXIS_PAR,PUT / Pix - QR Code,3343,7,3323,13,
81,AXIS_PAR,GET / PIX - Gerenciamento de Cobranças,8,0,8,0,
81,AXIS_PAR,PATCH / PIX - Gerenciamento de Cobranças,486,0,430,56,
82,PONTE_ANALOGICO,GET / PIX - Gerenciamento de Pix recebidos /,1182,425,757,0,
83,DELTA2_PAR,PUT / Pix - QR Code,1372,1,1357,14,
83,DELTA2_PAR,GET / PIX - Gerenciamento de Cobranças,33723,0,33718,5,
84,ORBITA_CLARO,GET / PIX - Gerenciamento de Pix recebidos /pix,16979,12712,4228,39,
84,ORBITA_CLARO,GET / PIX - Gerenciamento de Cobranças,9,0,9,0,
84,ORBITA_CLARO,PUT / PIX - Gerenciamento de Cobranças,32,0,32,0,
84,ORBITA_CLARO,PATCH / PIX - Gerenciamento de Cobranças,24,0,24,0,
85,BASE_ABSTRATO,PUT / PIX - Gerenciamento de Cobranças,28,0,28,0,
85,BASE_ABSTRATO,PATCH / PIX - Gerenciamento de Cobranças,9,0,9,0,
85,BASE_ABSTRATO,GET / PIX - Gerenciamento de Pix recebidos /pix,2,1,1,0,
85,BASE_ABSTRATO,GET / PIX - Gerenciamento de Cobranças,11194,1,11193,0,
86,NEXO_REMOTO,PATCH / PIX - Gerenciamento de Cobranças,2,2,0,0,
86,NEXO_REMOTO,GET / PIX - Gerenciamento de Cobranças,6,6,0,0,
86,NEXO_REMOTO,PUT / PIX - Gerenciamento de Cobranças,2,0,2,0,
86,NEXO_REMOTO,GET / PIX - Gerenciamento de Pix recebidos /pix,14396,14359,0,37,
86,NEXO_REMOTO,GET / Pix - Consultar Pix,6,0,6,0,
87,PONTE_AMPL0,GET / PIX - Gerenciamento de Pix recebidos /,51012,40707,10179,126,
87,PONTE_AMPL0,GET / PIX - Gerenciamento de Cobranças,1,0,1,0,
87,PONTE_AMPL0,PUT / Pix - QR Code,8544,0,8488,56,
87,PONTE_AMPL0,PATCH / PIX - Gerenciamento de Cobranças,1021,0,960,61,
88,CAMADA_AMPL0,PATCH / PIX - Gerenciamento de Cobranças,1,0,1,0,
88,CAMADA_AMPL0,GET / PIX - Gerenciamento de Cobranças,1,0,1,0,
