id_cliente,nome_cliente,% 4xx,Último Acionamento,Score,Penúltimo Mês,Mês Anterior,Mês Corrente
920,FIBRA_IMPAR,"99,71%",2026-04-08 00:00:00,0.0,16886.0,17137,17217
922,NIMBUS_CENTRAL,"0,00%",2026-03-10 00:00:00,100.0,,1617,0
930,CORE_EXATO,"99,71%",2026-04-08 00:00:00,0.0,33986.0,34460,34517
971,NODEX_GLOBAL,"0,03%",2026-04-08 00:00:00,0.0,2507.0,2733,2233
980,ROCHA_INTENSO,"0,00%",2026-04-08 00:00:00,0.0,2293.0,24084,19491
987,NEBULA_ROBUSTO,"44,08%",2026-03-31 00:00:00,100.0,10291.0,10166,0
1016,EDGE_ESTAVEL,"0,00%",2026-03-31 00:00:00,100.0,6993.0,7059,0
1031,RIO_LOCAL,"34,08%",2026-03-30 00:00:00,100.0,3064.0,2903,0
1034,ORIGEM_ALFA,"0,05%",2026-03-31 00:00:00,100.0,3259.0,2772,0
1058,PEDRA_ABERTO,"0,00%",2026-04-08 00:00:00,0.0,195.0,2532,1971
1059,HORIZONTE_FOSCO,"0,00%",2026-04-08 00:00:00,0.0,1669.0,1691,1321
1064,REDE_INFERIOR,"0,06%",2026-04-08 00:00:00,0.0,937.0,1040,749
1083,SINAL_LOCAL,"76,70%",2026-04-08 00:00:00,0.0,8681.0,8755,8788
1087,ANEL_PUJANTE,"0,01%",2026-03-30 00:00:00,100.0,1279.0,1482,0
1089,NEXO_LUNAR,"0,10%",2026-04-08 00:00:00,68.14997639023706,31879.0,3042,2934
1091,DELTA_CURVO,"56,27%",2026-04-08 00:00:00,0.0,17592.0,34726,288
1093,SUL_SECO,"0,00%",2026-04-08 00:00:00,0.0,238.0,1054,1543
1096,ZONE_NITIDO,"0,07%",2026-04-08 00:00:00,0.0,2161.0,2753,226
1099,EDGE_SIMPLES,"0,00%",2026-04-08 00:00:00,0.0,1889.0,2000,1949
1100,COSMOS_FRIO,"33,25%",2026-04-08 00:00:00,0.1947029595696069,1294.0,1291,1289
1110,STREAM_VASTO,"1,21%",2026-04-08 00:00:00,0.0,1527.0,1529,1067
1118,VECTOR_EXTERNO,"97,09%",2026-04-08 00:00:00,0.0,2726.0,2857,2841
1124,PATH_CURVO,"0,07%",2026-04-01 00:00:00,0.0,45280.0,54394,0
1127,WAVE_VERDE,"0,00%",2026-04-08 00:00:00,0.0,1311.0,1407,1092
1128,TOPO_ALTO,"99,53%",2026-04-08 00:00:00,23.388220689135903,2855.0,2140,1695
1131,LINK_NITIDO,"31,02%",2026-04-08 00:00:00,0.0,11313.0,11609,10860
1137,PULSO_PASSIVO,"99,70%",2026-04-08 00:00:00,0.0,16891.0,17136,17213
1149,FLUXO_PUJANTE,"0,96%",2026-03-31 00:00:00,100.0,9400.0,10337,0
1157,TRILHA_PUJANTE,"0,05%",2026-04-08 00:00:00,0.0,1325.0,1438,1438
1159,BLOCO_LUNAR,"99,70%",2026-04-08 00:00:00,0.0,16923.0,17141,17230
1175,PONTE_ATIVO,"29,89%",2026-04-08 00:00:00,0.0,1735.0,2075,1909
1178,CAMADA_BETA,"35,55%",2026-04-08 00:00:00,0.0,467.0,3914,2494
1181,SYSTEM_NEUTRO,"0,00%",2026-04-08 00:00:00,0.0,1351.0,1989,1627
1189,POINT_AMPL0,"13,53%",2026-04-08 00:00:00,21.002646515061198,1995.0,1344,1233
1191,NODO_LOCAL,"0,00%",2026-03-30 00:00:00,100.0,124.0,1839,0
1192,PONTE_ABERTO,"0,03%",2026-03-24 00:00:00,100.0,66399.0,54716,0
1193,ESFERA_ANALOGICO,"72,54%",2026-04-08 00:00:00,0.0,1135.0,1155,1146
1194,GELO_RARE,"2,50%",2026-04-08 00:00:00,0.0,485.0,1347,2812
1196,NEBULA_SIMPLES,"0,07%",2026-03-28 00:00:00,100.0,1530.0,1175,0
1208,FAIXA_SUAVE,"0,01%",2026-04-08 00:00:00,64.58885285504721,10266.0,10012,348
1214,SINAL_AZUL,"99,09%",2026-04-08 00:00:00,0.0,2044.0,2075,2078
1218,NEBULA_CONCRETO,"4,82%",2026-03-30 00:00:00,100.0,1004.0,1515,0
1219,BASE_SERENO,"64,36%",2026-04-08 00:00:00,0.0,3944.0,3996,3996
1222,CORE_DENSO,"0,09%",2026-04-08 00:00:00,39.9645381704074,21388.0,13560,9544
1223,ANEL_LATERAL,"73,87%",2026-03-31 00:00:00,100.0,8838.0,8660,0
1230,VENTO_BRILHANTE,"0,08%",2026-04-08 00:00:00,0.0,4028.0,4406,2246
1231,TRILHA_DENSO,"99,70%",2026-04-08 00:00:00,0.0,16679.0,16900,17119
1232,FIELD_SUPERIOR,"24,22%",2026-03-31 00:00:00,100.0,3434.0,3128,0
1238,NEBULA_LOCAL,"99,70%",2026-04-08 00:00:00,0.0,17027.0,17240,17267
1245,DELTA_LINEAR,"0,10%",2026-03-31 00:00:00,100.0,3770.0,3175,0
1247,CORE_RARE,"0,02%",2026-04-08 00:00:00,0.0,1412.0,1438,1437
1248,GRADE_ALFA,"0,00%",2026-03-31 00:00:00,100.0,451.0,13069,0
1249,OESTE_IMPAR,"0,00%",2026-03-31 00:00:00,100.0,307.0,7111,0
1250,CAMINHO_INTENSO,"99,71%",2026-04-08 00:00:00,0.0,16913.0,17138,17229
1257,SEMENTE_MULTIPLO,"44,03%",2026-04-08 00:00:00,0.0,1090.0,1406,1468
1259,VERTICE_EXATO,"99,70%",2026-04-08 00:00:00,0.0,16683.0,16900,17119
1260,OESTE_DINAMICO,"0,00%",2026-04-08 00:00:00,0.0,436.0,12442,18678
1263,RAIZ_MULTIPLO,"99,71%",2026-04-08 00:00:00,0.0,16916.0,17139,17231
1264,NEBULA_ANALOGICO,"99,72%",2026-04-08 00:00:00,0.0,16586.0,16834,17049
1268,EIXO_MORTO,"99,71%",2026-04-08 00:00:00,0.0,16742.0,16971,17160
1271,OESTE_REMOTO,"99,49%",2026-03-19 00:00:00,100.0,4256.0,1593,0
1272,RAIZ_INFERIOR,"99,71%",2026-04-08 00:00:00,0.0,16747.0,16972,17157
1273,BLOCO_MULTIPLO,"0,00%",2026-04-08 00:00:00,0.0,1305.0,2098,580
1282,VERTICE_PURO,"0,03%",2026-04-08 00:00:00,0.0,85067.0,88398,89871
1290,CUME_BRILHANTE,"61,13%",2026-04-08 00:00:00,0.0,829.0,1271,1515
1294,LUZ_ALTO,"99,71%",2026-04-08 00:00:00,0.0,16812.0,17057,17183
1295,OESTE_PAR,"0,06%",2026-04-08 00:00:00,0.0,697.0,1400,1437
1298,FONTE_SECO,"99,71%",2026-04-08 00:00:00,0.0,16657.0,16900,17106
1302,VERTICE_GLOBAL,"99,70%",2026-04-08 00:00:00,0.0,16831.0,17057,17205
1303,ATLAS_IMPAR,"99,71%",2026-04-08 00:00:00,0.0,16672.0,16900,17113
1306,WAVE_ALTO,"99,71%",2026-04-08 00:00:00,0.0,16733.0,16974,17148
1307,NEBULA_UMIDO,"99,70%",2026-04-08 00:00:00,0.0,16838.0,17057,17196
1308,VERTICE_ESTAVEL,"99,70%",2026-04-08 00:00:00,0.0,16614.0,16829,17055
1309,PEDRA_SUTIL,"99,71%",2026-04-08 00:00:00,0.0,16731.0,16975,17141
1310,NIMBUS_CLASSICO,"99,71%",2026-04-08 00:00:00,0.0,16611.0,16829,17060
1311,SYSTEM_RAPIDO,"99,72%",2026-04-08 00:00:00,0.0,16584.0,16833,17041
1314,FONTE_GLOBAL,"99,70%",2026-04-08 00:00:00,0.0,16680.0,16899,17122
1315,PLANO_SUAVE,"49,40%",2026-04-08 00:00:00,0.0,18955.0,19291,18933
1318,MATRIX_RAPIDO,"99,71%",2026-04-08 00:00:00,0.0,16674.0,16901,17117
1320,DELTA_AZUL,"99,69%",2026-04-08 00:00:00,0.0,16758.0,16972,17158
1323,ROCHA_MULTIPLO,"99,71%",2026-04-08 00:00:00,0.0,16602.0,16830,17052
1324,LESTE_GAMA,"67,92%",2026-03-31 00:00:00,100.0,8979.0,8863,0
1327,TORRE_GLOBAL,"33,04%",2026-04-08 00:00:00,0.0,1698.0,2225,1180
1333,OESTE_DOURADO,"99,71%",2026-04-08 00:00:00,0.0,16611.0,16830,17057
1337,ANEL_LEVE,"0,00%",2026-04-08 00:00:00,0.0,2617.0,2584,2604
1338,RIO_NOVO,"99,63%",2026-04-08 00:00:00,0.0,6741.0,6803,6842
1348,VECTOR_AMPL0,"99,72%",2026-04-08 00:00:00,0.0,16477.0,16704,16912
1350,TRAMA_MORTO,"99,73%",2026-04-08 00:00:00,0.0,2840.0,2870,2877
1351,GELO_CURVO,"99,71%",2026-04-08 00:00:00,0.0,16505.0,16699,16916
1357,PULSO_LATERAL,"99,71%",2026-04-08 00:00:00,0.0,16498.0,16699,16919
1375,PLANO_BAIXO,"0,04%",2026-04-01 00:00:00,0.0,5224.0,9552,546
1377,PICO_RAPIDO,"3,00%",2026-03-17 00:00:00,100.0,2873.0,1498,0
1379,NORTE_FECHADO,"0,00%",2026-03-31 00:00:00,100.0,1527.0,1532,0
1380,CUME_AZUL,"0,00%",2026-03-31 00:00:00,100.0,1195.0,1235,0
1382,TOPO_DENSO,"0,02%",2026-04-08 00:00:00,0.0,10972.0,8713,11762
1388,NEBULA_EXTERNO,"0,00%",2026-04-08 00:00:00,0.0,219.0,4081,6369
1396,ZONE_MULTIPLO,"20,18%",2026-04-08 00:00:00,0.0,701.0,1152,128
1398,CORE_BETA,"0,04%",2026-03-23 00:00:00,100.0,136661.0,112292,0
1400,CORE_LOCAL,"0,00%",2026-04-08 00:00:00,0.0,1167.0,1182,1384
1409,ROCHA_SECO,"0,06%",2026-03-30 00:00:00,100.0,6907.0,6226,0
1410,PATH_ANTIGO,"0,07%",2026-04-08 00:00:00,0.0,3043.0,3568,4462
1421,SYSTEM_IMPAR,"0,01%",2026-04-08 00:00:00,0.0,1210.0,1409,1316
1424,GRID_COMPLEXO,"0,00%",2026-03-27 00:00:00,100.0,16237.0,17807,0
1429,FRAME_PASSIVO,"0,00%",2026-04-08 00:00:00,0.0,160.0,1655,2708
1434,ANEL_QUENTE,"0,00%",2026-03-30 00:00:00,100.0,2069.0,2022,0
1452,ZONE_SECO,"0,05%",2026-04-08 00:00:00,0.0,1180.0,1287,627
1454,ESTRELA_PRECISO,"0,00%",2026-04-08 00:00:00,0.0,89.0,1105,559
1457,NORTE_LEVE,"0,00%",2026-04-08 00:00:00,0.0,1045.0,1048,1065
1462,TORRE_DOURADO,"95,76%",2026-04-08 00:00:00,0.0,2736.0,2857,2842
1463,SUL_SUAVE,"0,05%",2026-04-08 00:00:00,0.0,11083.0,11668,11226
1479,OESTE_CALMO,"0,00%",2026-03-31 00:00:00,100.0,361.0,3741,0
1484,TORRE_PRATA,"0,00%",2026-04-08 00:00:00,0.0,528.0,15481,1991
1497,PULSO_NEUTRO,"78,42%",2026-03-31 00:00:00,100.0,8877.0,8747,0
1509,LESTE_EXATO,"0,85%",2026-04-08 00:00:00,0.0,1712.0,3868,8667
1521,GRADE_ALTO,"0,00%",2026-04-08 00:00:00,0.0,13665.0,26307,4961
1522,AXIS_DISCRETO,"99,71%",2026-04-08 00:00:00,0.0,17014.0,17234,17263
1524,TRILHA_GLOBAL,"1,78%",2026-04-08 00:00:00,0.0,42928.0,30529,46182
1531,ILHA_DINAMICO,"0,04%",2026-04-08 00:00:00,11.748301192774926,14890.0,12478,12375
1534,BRISA_GLOBAL,"99,45%",2026-04-08 00:00:00,0.0,7376.0,7398,7513
1535,SOMBRA_FORTE,"94,74%",2026-04-08 00:00:00,0.0,7532.0,7621,7705
1550,FIBRA_COMPLEXO,"97,11%",2026-04-08 00:00:00,0.0,8018.0,8059,8183
1554,AREIA_INTERNO,"19,33%",2026-04-01 00:00:00,0.0,78471.0,79901,3206
1558,BRISA_LATERAL,"0,34%",2026-03-31 00:00:00,100.0,3129.0,3565,0
1571,VALE_MULTIPLO,"98,00%",2026-04-08 00:00:00,0.0,2716.0,2856,2840
1581,MAR_ROBUSTO,"99,71%",2026-04-08 00:00:00,0.0,16826.0,17058,17198
1586,NEBULA_MULTIPLO,"99,70%",2026-04-08 00:00:00,0.0,16755.0,16971,17163
1587,NORTE_DOURADO,"99,71%",2026-04-08 00:00:00,0.0,16818.0,17057,17190
1588,FRAME_PRATA,"99,70%",2026-04-08 00:00:00,0.0,16680.0,16899,17120
1594,STREAM_REMOTO,"99,71%",2026-04-08 00:00:00,0.0,16661.0,16901,17103
1597,POINT_ANALOGICO,"99,71%",2026-04-08 00:00:00,0.0,16830.0,17057,17201
1598,COSMOS_INFERIOR,"88,57%",2026-04-08 00:00:00,0.0,32875.0,33136,33530
1602,WAVE_MULTIPLO,"99,70%",2026-04-08 00:00:00,0.0,16837.0,17057,17203
1603,FIELD_RARE,"99,68%",2026-04-08 00:00:00,13.12163614640766,20849.0,18420,17049
1604,VECTOR_UNICO,"15,24%",2026-03-30 00:00:00,100.0,4896.0,4445,0
1608,COSMOS_QUENTE,"12,69%",2026-04-08 00:00:00,0.0,6193.0,3869,4741
1625,ESFERA_REMOTO,"99,72%",2026-04-08 00:00:00,0.0,16471.0,16705,16907
1627,EIXO_AMPL0,"99,82%",2026-04-08 00:00:00,0.0,16008.0,16081,16336
1630,VALE_ALFA,"0,00%",2026-04-08 00:00:00,0.0,792.0,34949,31136
1631,EDGE_FORTE,"99,72%",2026-04-08 00:00:00,0.0,16482.0,16702,16914
1634,RAIZ_AGIL,"99,72%",2026-04-08 00:00:00,0.0,16490.0,16701,16914
1636,AXIS_SUTIL,"95,77%",2026-04-08 00:00:00,0.0,11979.0,13037,12858
1638,CORE_GAMA,"99,71%",2026-04-08 00:00:00,0.0,16496.0,16701,16919
1642,CHAMA_PURO,"99,82%",2026-04-08 00:00:00,0.0,16018.0,16081,16339
1643,DELTA2_DENSO,"99,70%",2026-04-08 00:00:00,0.0,16506.0,16700,16915
1663,COSMOS_INTERNO,"0,03%",2026-04-08 00:00:00,0.0,4963.0,12059,9787
1665,MAR_SUAVE,"93,30%",2026-04-08 00:00:00,0.0,1067.0,1074,1053
1679,FONTE_PASSIVO,"0,00%",2026-04-08 00:00:00,0.0,519.0,6379,5438
